;Tag Type, Tag Name, Tag Description, Read Only, Data Source, Security Code, Alarmed, Data Logged, Native Type, Value Type, Min Analog, Max Analog, Initial Analog, Scale, Offset, DeadBand, Units, Off Label Digital, On Label Digital, Initial Digital, Length String, Initial String, Node Name, Address, Scan Class,  System Source Name, System Source Index, RIO Address, Element Size Block, Number Elements Block, Initial Block
;###001 - THIS LINE CONTAINS VERSION INFORMATION. DO NOT REMOVE!!!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
;Folders Section (Must define folders before tags),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,M40\SV44\OFF_IND,SV44 OFF IND,F,D,*,F,F,,,,,,,,,,Off,On,Off,,,M40_DTS-R,N42:14/15,G,,,,,,
D,M40\SV44\SUP_IND,SV44 SUPPLY IND,F,D,*,F,F,,,,,,,,,,Off,On,Off,,,M40_DTS-R,N42:14/14,G,,,,,,
D,M40\SV51\EXH_IND,SV51 EXHAUST IND,F,D,*,F,F,,,,,,,,,,Off,On,Off,,,M40_DTS-R,N42:16/0,G,,,,,,
D,M40\SV51\OFF_IND,SV51 OFF IND,F,D,*,F,F,,,,,,,,,,Off,On,Off,,,M40_DTS-R,N42:16/3,G,,,,,,
D,M40\SV51\SUP_IND,SV51 SUPPLY IND,F,D,*,F,F,,,,,,,,,,Off,On,Off,,,M40_DTS-R,N42:16/2,G,,,,,,
D,M40\SV52\EXH_IND,SV52 EXHAUST IND,F,D,*,F,F,,,,,,,,,,Off,On,Off,,,M40_DTS-R,N42:16/4,G,,,,,,
D,M40\SV52\OFF_IND,SV52 OFF IND,F,D,*,F,F,,,,,,,,,,Off,On,Off,,,M40_DTS-R,N42:16/7,G,,,,,,
D,M40\SV52\SUP_IND,SV52 SUPPLY IND,F,D,*,F,F,,,,,,,,,,Off,On,Off,,,M40_DTS-R,N42:16/6,G,,,,,,
D,M40\SV53\EXH_IND,SV53 EXHAUST IND,F,D,*,F,F,,,,,,,,,,Off,On,Off,,,M40_DTS-R,N42:16/8,G,,,,,,
D,M40\SV53\OFF_IND,SV53 OFF IND,F,D,*,F,F,,,,,,,,,,Off,On,Off,,,M40_DTS-R,N42:16/11,G,,,,,,
D,M40\SV53\SUP_IND,SV53 SUPPLY IND,F,D,*,F,F,,,,,,,,,,Off,On,Off,,,M40_DTS-R,N42:16/10,G,,,,,,
D,M40\SV54\EXH_IND,SV54 EXHAUST IND,F,D,*,F,F,,,,,,,,,,Off,On,Off,,,M40_DTS-R,N42:16/12,G,,,,,,
D,M40\SV54\OFF_IND,SV54 OFF IND,F,D,*,F,F,,,,,,,,,,Off,On,Off,,,M40_DTS-R,N42:16/15,G,,,,,,
D,M40\SV54\SUP_IND,SV54 SUPPLY IND,F,D,*,F,F,,,,,,,,,,Off,On,Off,,,M40_DTS-R,N42:16/14,G,,,,,,
D,M40\SV5\EXH_IND,SV5 EXHAUST IND,F,D,*,F,F,,,,,,,,,,Off,On,Off,,,M40_DTS-R,N42:18/0,G,,,,,,
D,M40\SV5\OFF_IND,SV5 OFF IND,F,D,*,F,F,,,,,,,,,,Off,On,Off,,,M40_DTS-R,N42:18/3,G,,,,,,
D,M40\SV5\SUP_IND,SV5 SUPPLY IND,F,D,*,F,F,,,,,,,,,,Off,On,Off,,,M40_DTS-R,N42:18/2,G,,,,,,
D,M40\SV6\EXH_IND,SV6 EXHAUST IND,F,D,*,F,F,,,,,,,,,,Off,On,Off,,,M40_DTS-R,N42:18/4,G,,,,,,
D,M40\SV6\OFF_IND,SV6 OFF IND,F,D,*,F,F,,,,,,,,,,Off,On,Off,,,M40_DTS-R,N42:18/7,G,,,,,,
D,M40\SV6\SUP_IND,SV6 SUPPLY IND,F,D,*,F,F,,,,,,,,,,Off,On,Off,,,M40_DTS-R,N42:18/6,G,,,,,,
D,M40\SV7\EXH_IND,SV7 EXHAUST IND,F,D,*,F,F,,,,,,,,,,Off,On,Off,,,M40_DTS-R,N42:18/8,G,,,,,,
D,M40\SV7\OFF_IND,SV7 OFF IND,F,D,*,F,F,,,,,,,,,,Off,On,Off,,,M40_DTS-R,N42:18/11,G,,,,,,
D,M40\SV7\SUP_IND,SV7 SUPPLY IND,F,D,*,F,F,,,,,,,,,,Off,On,Off,,,M40_DTS-R,N42:18/10,G,,,,,,
D,M40_ALM_RT,Civic Center PLC ALARM RESET,F,D,B,F,F,,,,,,,,,,OFF,ON,OFF,,,M40_DTS-R,N45:0/3,G,,,,,,
D,M40_COM_AL,Civic Center COMMUNICATION STATUS,F,M,*,T,F,,,,,,,,,,NORMAL,FAIL,NORMAL,,,,,,,,,,,
D,M40_COM_IN,Civic Center PLC COMMUNICATION IND.,F,D,*,F,F,,,,,,,,,,FAIL,NORMAL,FAIL,,,M40_DTS-R,N42:0/3,F,,,,,,
D,M40_PLC5\120V_PS_FAIL,M40 PLC-5 120 VOLT POWER SUPPLY FAILURE,F,D,*,T,F,,,,,,,,,,NORMAL,FAULT,NORMAL,,,M40_DTS-R,N42:8/6,F,,,,,,
D,M40_PLC5\COPRO_FLT,M40 PLC-5 COPROCESSOR FAULT,F,D,*,T,F,,,,,,,,,,NORMAL,FAULT,NORMAL,,,M40_DTS-R,S:11/6,H,,,,,,
A,M40_PLC5\MAJR_FLT,M40 PLC-5 MAJOR FAULT,F,D,*,T,F,U,L,0,310378496,0,1,0,0,,,,,,,M40_DTS-R,S:11,H,,,,,,
A,M40_PLC5\MINR_FLT,M40 PLC-5 MINOR FAULT,F,D,*,F,F,U,L,0,310378496,0,1,0,0,,,,,,,M40_DTS-R,S:10,H,,,,,,
D,M40_PLC5\PLC_PS_FAIL,M40 PLC-5 REDUNDANT POWER SUPPLY FAILURE,F,D,*,T,F,,,,,,,,,,NORMAL,FAULT,NORMAL,,,M40_DTS-R,N42:8/5,F,,,,,,
D,M40_PLC5\PRGR_MODE,M40 PLC-5 IN PROGRAM MODE,F,D,*,F,F,,,,,,,,,,Off,PROGRAM,Off,,,M40_DTS-R,S:1/3,H,,,,,,
D,M40_PLC5\R00_FLT,M40 PLC-5 RACK 00 FAULT,F,D,*,F,F,,,,,,,,,,NORMAL,FAULT,NORMAL,,,M40_DTS-R,N42:8/0,F,,,,,,
D,M40_PLC5\R01_FLT,M40 PLC-5 RACK 01 FAULT,F,D,*,F,F,,,,,,,,,,NORMAL,FAULT,NORMAL,,,M40_DTS-R,N42:8/1,F,,,,,,
D,M40_PLC5\R02_FLT,M40 PLC-5 RACK 02 FAULT,F,D,*,F,F,,,,,,,,,,NORMAL,FAULT,NORMAL,,,M40_DTS-R,N42:8/2,F,,,,,,
D,M40_PLC5\R03_FLT,M40 PLC-5 RACK 03 FAULT,F,D,*,F,F,,,,,,,,,,NORMAL,FAULT,NORMAL,,,M40_DTS-R,N42:8/3,F,,,,,,
D,M40_PLC5\RACK_FLT,M40 PLC-5 RACK FAULT,F,D,*,T,F,,,,,,,,,,NORMAL,FAULT,NORMAL,,,M40_DTS-R,N42:8/4,F,,,,,,
D,M40_PLC5\REM_MODE,M40 PLC-5 MODE SWITCH IN REMOTE,F,D,*,F,F,,,,,,,,,,Off,On,Off,,,M40_DTS-R,S:1/7,H,,,,,,
D,M40_PLC5\RUN_MODE,M40 PLC-5 IN RUN MODE,F,D,*,F,F,,,,,,,,,,Off,On,Off,,,M40_DTS-R,S:1/1,H,,,,,,
A,M40_PLC5\SCAN_LAST,M40 PLC-5 LAST PROGRAM SCAN,F,D,*,F,F,I,L,0,1000,0,1,0,0,,,,,,,M40_DTS-R,S:8,H,,,,,,
A,M40_PLC5\SCAN_MAX,M40 PLC-5 MAXIMUM PROGRAM SCAN,F,D,*,F,F,I,L,0,1000,0,1,0,0,,,,,,,M40_DTS-R,S:9,H,,,,,,
D,M40_PLC5\WTCH_TOUT,M40 PLC-5 WATCHDOG TIMER,F,D,*,T,F,,,,,,,,,,NORMAL,FAULT,NORMAL,,,M40_DTS-R,S:11/8,H,,,,,,
