    fip     | dnp3  | index |           type            |                         dev                         |           attr            |          bit          
 A30-ACO-DN |   239 |    40 | ABNORMAL_CONDITION_DEVICE | ACO_X02_263SP_ALM                                   | ABC_DEVICE_ELEC_IND       | ALARM
 A30-ACO-DN |   240 |    40 | ABNORMAL_CONDITION_DEVICE | ACO_X02_263SP_ALM                                   | ABC_DEVICE_ELEC_IND       | NO_ALARM
 A30-ACO-DN |   241 |    41 | ABNORMAL_CONDITION_DEVICE | ACO_X02_263SP_TRP                                   | ABC_DEVICE_ELEC_IND       | ALARM
 A30-ACO-DN |   242 |    41 | ABNORMAL_CONDITION_DEVICE | ACO_X02_263SP_TRP                                   | ABC_DEVICE_ELEC_IND       | NO_ALARM
 A30-ACO-DN |   243 |    42 | ABNORMAL_CONDITION_DEVICE | ACO_X02_226QT_ALM                                   | ABC_DEVICE_ELEC_IND       | ALARM
 A30-ACO-DN |   244 |    42 | ABNORMAL_CONDITION_DEVICE | ACO_X02_226QT_ALM                                   | ABC_DEVICE_ELEC_IND       | NO_ALARM
 A30-ACO-DN |   245 |    43 | ABNORMAL_CONDITION_DEVICE | ACO_X02_226QT_TRP                                   | ABC_DEVICE_ELEC_IND       | ALARM
 A30-ACO-DN |   246 |    43 | ABNORMAL_CONDITION_DEVICE | ACO_X02_226QT_TRP                                   | ABC_DEVICE_ELEC_IND       | NO_ALARM
 A30-ACO-DN |   247 |    44 | ABNORMAL_CONDITION_DEVICE | ACO_X02_263OL_ALM                                   | ABC_DEVICE_ELEC_IND       | ALARM
 A30-ACO-DN |   248 |    44 | ABNORMAL_CONDITION_DEVICE | ACO_X02_263OL_ALM                                   | ABC_DEVICE_ELEC_IND       | NO_ALARM
 A30-ACO-DN |   249 |    45 | ABNORMAL_CONDITION_DEVICE | ACO_X02_PRV_ALM                                     | ABC_DEVICE_ELEC_IND       | ALARM
 A30-ACO-DN |   250 |    45 | ABNORMAL_CONDITION_DEVICE | ACO_X02_PRV_ALM                                     | ABC_DEVICE_ELEC_IND       | NO_ALARM
 A30-ACO-DN |   251 |    46 | ABNORMAL_CONDITION_DEVICE | ACO_Z02_33_DOOR_OPEN_TRP                            | ABC_DEVICE_ELEC_IND       | ALARM
 A30-ACO-DN |   252 |    46 | ABNORMAL_CONDITION_DEVICE | ACO_Z02_33_DOOR_OPEN_TRP                            | ABC_DEVICE_ELEC_IND       | NO_ALARM
 A30-ACO-DN |   253 |    47 | ABNORMAL_CONDITION_DEVICE | ACO_Z02_189_NDS_OPEN                                | ABC_DEVICE_ELEC_IND       | ALARM
 A30-ACO-DN |   254 |    47 | ABNORMAL_CONDITION_DEVICE | ACO_Z02_189_NDS_OPEN                                | ABC_DEVICE_ELEC_IND       | NO_ALARM
 A30-ACO-DN |   255 |    48 | ABNORMAL_CONDITION_DEVICE | ACO_Z02_126DT_HI_ALM                                | ABC_DEVICE_ELEC_IND       | ALARM
 A30-ACO-DN |   256 |    48 | ABNORMAL_CONDITION_DEVICE | ACO_Z02_126DT_HI_ALM                                | ABC_DEVICE_ELEC_IND       | NO_ALARM
 A30-ACO-DN |   257 |    49 | ABNORMAL_CONDITION_DEVICE | ACO_Z02_27_ALM                                      | ABC_DEVICE_ELEC_IND       | ALARM
 A30-ACO-DN |   258 |    49 | ABNORMAL_CONDITION_DEVICE | ACO_Z02_27_ALM                                      | ABC_DEVICE_ELEC_IND       | NO_ALARM
